Customer ID,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,True_Outlier
41856,Male,Loyal Customer,33,Business travel,Eco,483,4,4,4,4,4,4,4,4,3,1,3,4,5,4,313,336.0,1,True
91467,Female,disloyal Customer,26,Business travel,Eco,459,4,4,5,4,5,2,4,2,3,2,4,4,4,4,412,459.0,1,True
95491,Female,disloyal Customer,33,Business travel,Business,189,3,2,2,4,2,2,5,3,3,4,4,5,4,5,324,323.0,0,True
5804,Male,Loyal Customer,79,Business travel,Business,177,1,5,4,5,3,1,3,3,4,4,4,3,4,3,330,348.0,0,True
75977,Male,disloyal Customer,36,Business travel,Eco,297,1,4,1,3,1,4,4,3,2,4,3,4,4,4,447,433.0,0,True
104156,Male,disloyal Customer,24,Business travel,Eco,349,2,3,2,4,2,4,4,3,5,5,4,4,3,4,236,374.0,0,True
6753,Female,Loyal Customer,59,Business travel,Business,235,2,3,3,3,1,1,1,4,3,4,5,1,5,1,319,363.0,1,True
3346,Male,Loyal Customer,21,Business travel,Eco,240,4,2,2,2,3,2,4,3,2,3,3,4,1,4,537,524.0,0,True
82145,Male,disloyal Customer,21,Business travel,Eco,237,1,5,1,4,1,5,4,3,3,5,5,4,4,4,419,460.0,0,True
108030,Male,disloyal Customer,36,Business travel,Eco,306,3,2,4,2,4,4,4,1,5,2,3,4,4,4,216,314.0,0,True
14327,Female,Loyal Customer,64,Personal Travel,Eco,429,2,5,2,4,2,2,2,1,2,2,2,2,5,2,308,329.0,0,True
26590,Female,Loyal Customer,40,Business travel,Eco,406,4,5,5,5,4,4,4,2,3,2,5,4,3,4,346,349.0,1,True
50110,Male,disloyal Customer,25,Business travel,Eco,86,1,1,1,4,1,5,5,3,2,3,3,5,4,5,459,445.0,0,True
108727,Male,disloyal Customer,38,Business travel,Eco,191,3,3,3,4,3,5,5,1,1,3,4,5,3,5,128,337.0,0,True
43555,Female,Loyal Customer,8,Personal Travel,Eco,438,2,4,2,1,2,5,5,4,3,5,5,5,4,5,328,404.0,0,True
5173,Female,Loyal Customer,42,Personal Travel,Business,351,2,3,2,2,2,3,3,1,3,3,2,3,3,3,692,702.0,0,True
107393,Female,Loyal Customer,43,Business travel,Business,468,5,5,5,5,5,5,5,4,5,4,4,5,5,5,321,360.0,1,True
14853,Female,disloyal Customer,20,Business travel,Eco,240,1,5,1,1,1,3,3,3,4,5,1,3,5,3,340,335.0,0,True
14340,Male,Loyal Customer,14,Personal Travel,Eco,395,1,5,2,1,2,2,2,4,4,5,4,2,4,2,519,516.0,0,True
18703,Male,Loyal Customer,47,Business travel,Eco Plus,190,2,4,4,4,2,2,2,4,4,3,2,2,5,2,414,410.0,1,True
92493,Male,Loyal Customer,45,Business travel,Eco,447,5,2,2,2,5,3,3,3,2,4,3,3,3,3,559,555.0,1,True
16964,Female,disloyal Customer,25,Business travel,Eco,195,3,4,3,3,3,4,4,3,1,3,4,4,3,4,382,392.0,0,True
17320,Male,Loyal Customer,25,Personal Travel,Eco,258,2,4,2,2,2,2,2,4,3,3,2,2,3,2,247,307.0,0,True
10989,Male,disloyal Customer,55,Business travel,Business,270,2,2,2,4,2,2,2,4,2,3,4,2,4,2,328,330.0,0,True
20232,Female,Loyal Customer,37,Business travel,Business,228,1,1,1,1,2,1,1,1,4,4,4,1,4,1,394,362.0,0,True
90876,Male,disloyal Customer,23,Business travel,Eco,240,4,2,4,4,4,3,3,3,3,3,3,3,4,3,312,304.0,0,True
34473,Male,disloyal Customer,25,Business travel,Business,266,5,3,5,3,5,4,4,1,1,2,1,4,2,4,398,392.0,1,True
45184,Female,disloyal Customer,22,Business travel,Eco Plus,174,3,3,3,5,3,5,5,2,1,2,1,5,1,5,316,326.0,0,True
17255,Male,Loyal Customer,44,Business travel,Business,472,3,2,2,2,3,3,3,3,5,4,3,3,4,3,351,336.0,0,True
14107,Female,Loyal Customer,65,Personal Travel,Eco,453,3,2,3,3,3,4,4,4,3,3,3,4,4,4,514,624.0,0,True
36020,Male,disloyal Customer,39,Business travel,Eco,399,2,3,2,1,2,3,3,2,2,5,2,3,1,3,383,401.0,0,True
4796,Female,Loyal Customer,68,Personal Travel,Eco,438,2,5,2,4,2,3,4,3,2,5,4,4,5,4,362,356.0,0,True
9080,Male,Loyal Customer,40,Personal Travel,Eco,173,3,3,3,3,2,3,5,5,1,1,1,5,5,5,399,432.0,0,True
19226,Female,Loyal Customer,32,Personal Travel,Eco,459,3,4,3,3,3,5,5,3,5,4,4,5,3,5,364,381.0,0,True
4858,Female,disloyal Customer,21,Business travel,Eco,408,3,3,3,4,3,1,1,1,4,3,4,1,1,1,333,338.0,0,True
29917,Male,Loyal Customer,50,Business travel,Eco,253,4,2,2,2,4,4,4,2,5,1,3,4,3,4,348,351.0,1,True
23218,Female,Loyal Customer,18,Personal Travel,Eco,326,2,1,2,4,2,4,4,2,1,4,3,4,1,4,306,306.0,0,True
15726,Male,disloyal Customer,26,Business travel,Eco,424,1,2,1,4,1,5,5,2,3,3,4,5,2,5,491,485.0,0,True
30088,Male,Loyal Customer,56,Personal Travel,Eco,160,3,5,3,2,2,2,2,4,4,4,4,2,4,2,319,317.0,0,True
19740,Male,Loyal Customer,17,Business travel,Eco Plus,409,4,3,3,3,4,2,4,3,1,3,4,4,3,4,437,518.0,0,True
95126,Male,Loyal Customer,70,Personal Travel,Eco,239,2,2,3,3,2,3,3,3,2,4,3,3,4,3,358,354.0,0,True
29974,Male,Loyal Customer,50,Business travel,Business,95,1,3,3,3,4,1,3,4,3,4,4,3,2,3,455,456.01,0,True
99979,Female,Loyal Customer,41,Business travel,Business,289,1,1,2,1,5,5,5,5,4,5,4,5,5,5,282,305.0,1,True
5471,Female,Loyal Customer,33,Personal Travel,Eco,265,2,5,3,4,2,1,1,3,4,5,4,1,5,1,389,378.0,0,True
15064,Male,Loyal Customer,51,Personal Travel,Eco,488,2,1,2,3,2,2,2,1,3,2,2,2,1,2,318,317.0,0,True
121354,Female,disloyal Customer,22,Business travel,Business,430,4,3,4,5,4,3,3,4,4,5,4,3,3,3,359,379.0,1,True
52292,Female,Loyal Customer,40,Business travel,Business,451,2,2,2,2,5,5,5,4,2,2,3,5,3,5,326,366.0,1,True
84219,Female,Loyal Customer,78,Business travel,Eco,432,2,3,4,4,2,2,2,4,1,3,3,2,1,2,362,371.0,0,True
20441,Male,disloyal Customer,21,Business travel,Eco,84,5,3,5,2,5,5,5,1,5,4,1,5,5,5,294,320.0,1,True
51703,Female,disloyal Customer,40,Business travel,Business,261,1,1,1,3,1,3,3,3,4,3,3,3,4,3,402,389.0,0,True
11091,Male,Loyal Customer,23,Personal Travel,Eco,224,3,4,3,4,2,1,1,5,5,5,4,1,3,1,351,342.0,0,True
15588,Male,disloyal Customer,22,Business travel,Eco,288,2,1,2,3,2,3,3,3,5,3,3,3,4,3,503,484.0,0,True
9151,Male,Loyal Customer,17,Personal Travel,Eco,227,2,5,2,3,2,1,1,3,3,4,4,1,5,1,273,358.0,0,True
18234,Female,disloyal Customer,55,Business travel,Eco,137,5,5,5,3,5,4,2,3,5,4,1,2,1,2,355,346.0,1,True
83838,Male,Loyal Customer,45,Business travel,Business,448,1,5,5,5,1,1,1,4,5,3,4,1,4,1,389,420.0,0,True
83685,Female,disloyal Customer,72,Business travel,Eco,177,1,1,3,3,4,3,3,3,3,4,4,3,3,3,350,399.0,0,True
1167,Female,Loyal Customer,13,Personal Travel,Eco,164,2,4,2,3,2,1,1,5,5,5,5,1,5,1,291,317.0,0,True
1107,Female,Loyal Customer,24,Personal Travel,Eco,164,3,4,3,4,3,4,4,5,2,4,5,4,3,4,423,417.0,0,True
115388,Female,Loyal Customer,36,Business travel,Eco,337,4,1,1,1,4,4,4,4,1,4,4,4,3,4,363,350.0,0,True
56313,Male,Loyal Customer,56,Personal Travel,Business,200,3,4,3,4,3,1,1,1,5,4,1,1,4,1,328,337.0,0,True
93580,Male,disloyal Customer,25,Business travel,Eco,159,1,4,1,4,1,5,5,3,2,3,4,5,4,5,411,425.0,0,True
19683,Male,Loyal Customer,37,Business travel,Eco,475,4,2,2,2,4,4,4,1,1,3,5,4,5,4,291,310.0,1,True
44327,Female,Loyal Customer,40,Business travel,Eco,471,5,1,1,1,5,5,5,5,5,1,4,5,1,5,390,362.0,1,True
5921,Male,Loyal Customer,41,Personal Travel,Eco,67,2,2,2,2,2,3,3,3,5,1,2,3,2,3,314,352.0,0,True
5702,Female,Loyal Customer,7,Personal Travel,Eco,234,1,5,3,1,2,4,4,4,4,5,1,4,2,4,724,705.0,0,True
34926,Male,Loyal Customer,41,Business travel,Eco,187,3,3,3,3,3,3,3,1,5,2,2,3,4,3,274,310.0,0,True
4014,Male,disloyal Customer,25,Business travel,Eco,483,3,2,3,4,3,5,5,2,2,3,4,5,3,5,300,317.0,0,True
70086,Female,disloyal Customer,23,Business travel,Business,460,4,2,4,4,4,1,1,4,4,5,4,1,5,1,381,374.0,1,True
21193,Female,Loyal Customer,33,Business travel,Eco,192,4,2,2,2,4,4,4,1,5,5,5,4,5,4,293,306.0,1,True
7285,Male,Loyal Customer,10,Personal Travel,Eco,135,3,4,3,4,2,4,4,4,3,4,5,4,5,4,489,491.0,0,True
51312,Male,Loyal Customer,59,Business travel,Eco Plus,158,2,5,5,5,2,2,2,2,4,3,3,2,2,2,447,438.0,0,True
100021,Male,Loyal Customer,32,Business travel,Business,277,2,4,4,4,2,2,2,4,4,3,4,2,3,2,360,388.0,0,True
57663,Female,Loyal Customer,45,Personal Travel,Eco,200,3,4,3,3,3,2,4,3,1,2,1,4,3,4,590,608.0,0,True
77296,Female,Loyal Customer,43,Business travel,Eco,391,5,2,3,2,5,5,5,5,4,3,5,5,5,5,469,493.0,1,True
16171,Female,Loyal Customer,44,Business travel,Eco,277,5,3,3,3,5,5,5,4,4,3,3,5,2,5,420,407.0,1,True
46575,Male,Loyal Customer,69,Business travel,Business,73,2,2,2,2,1,2,2,2,3,4,3,2,3,2,565,586.0,0,True
39230,Female,Loyal Customer,39,Business travel,Eco,67,5,1,1,1,5,5,5,1,5,3,4,5,5,5,358,410.0,1,True
9074,Male,Loyal Customer,12,Personal Travel,Eco,173,5,1,5,4,5,5,5,2,3,3,3,5,3,5,326,330.0,1,True
49147,Male,Loyal Customer,49,Business travel,Eco,199,4,5,5,5,4,4,4,5,3,2,3,4,5,4,283,305.0,1,True
